player,team_bye_week,pos,depth_chart,adp,expert_consensus_rank,pts_over_replacement,position_score
Trey McBride,ARI/11,TE,1,4.12,5|5,43,47.3
George Kittle,SF/9,TE,1,6.01,7|6,38.2,38.4
Dalton Kincaid,BUF/12,TE,1,5.04,6|7,36.4,29.9
Kyle Pitts,ATL/12,TE,1,6.01,7|7,34,21.9
Evan Engram,JAC/12,TE,1,6.11,8|2,28,15.4
Jake Ferguson,DAL/7,TE,1,8.01,8|10,25.8,9.4
David Njoku,CLE/10,TE,1,8.04,9|3,23.3,3.9
Dallas Goedert,PHI/5,TE,1,9.12,10|2,9.4,1.8
Brock Bowers,LV/10,TE,1,9.07,10|2,7.5,0
Dalton Schultz,HOU/14,TE,1,11.01,11|5,0,0
Pat Freiermuth,PIT/9,TE,1,12.02,10|11,-0.3,0
Cole Kmet,CHI/7,TE,1,12.01,11|11,-3.5,0
T.J. Hockenson,MIN/6,TE,1,10.12,11|8,-5.2,0
Tyler Conklin,NYJ/12,TE,1,15.12,15|5,-18,0
